Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Sudan,SDN,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,..,..,..,4.3,4.2,4.2,4.1,4.1,4.2,4.1,4.1,4.1,4.1,4,4.1,4,4,3.9,3.9,3.9,3.8,3.9,3.8,..,..
Sudan,SDN,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,..,..,..,3.4,3.2,3.1,3,3,3.2,3.1,3,2.9,2.9,2.9,3,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,..,..
Sudan,SDN,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,..,..,..,5.3,5.2,5.3,5.2,5.2,5.3,5.2,5.2,5.2,5.2,5.2,5.3,5.1,5.2,5.1,5,4.9,4.9,4.9,4.9,..,..
Sudan,SDN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.903,10.691,10.477,10.263,10.047,9.829,9.61,9.39,9.17,8.951,8.734,8.521,8.315,8.122,7.946,7.788,7.649,7.53,7.428,7.34,7.261,7.188,7.117,7.047,..
Sudan,SDN,"Population ages 0-14, female",SP.POP.0014.FE.IN,5533272,5649459,5767285,5895517,6037462,6188643,6344273,6495682,6637329,6785277,6925122,7059393,7192408,7326569,7458379,7587432,7714024,7838481,7961692,8091902,8220569,8348475,8476450,8605091,8738643
Sudan,SDN,"Population ages 0-14, male",SP.POP.0014.MA.IN,5674317,5794873,5917548,6051414,6200466,6359698,6522314,6676990,6816603,6972542,7115221,7249761,7384753,7525865,7655957,7788654,7922458,8054837,8184552,8320516,8453606,8584824,8715511,8846639,8983535
Sudan,SDN,"Population ages 0-14, total",SP.POP.0014.TO,11207592,11444339,11684837,11946933,12237910,12548293,12866517,13172612,13453932,13757793,14040338,14309200,14577219,14852433,15114435,15376209,15636569,15893353,16146247,16412406,16674160,16933296,17191958,17451732,17722182
Sudan,SDN,"Population ages 15-64, female",SP.POP.1564.FE.IN,6722442,6895546,7071344,7254443,7444044,7642156,7847706,8060041,8278222,8482659,8693688,8912647,9140966,9380466,9635153,9905656,10191011,10489508,10799264,11111207,11435443,11771161,12117629,12474073,12837201
Sudan,SDN,"Population ages 15-64, male",SP.POP.1564.MA.IN,6711617,6882442,7056574,7238930,7428040,7626734,7832189,8041273,8251409,8423496,8597397,8778244,8972052,9183701,9432985,9704499,9995394,10301129,10617697,10933329,11260949,11600094,11950681,12312389,12678902
Sudan,SDN,"Population ages 15-64, total",SP.POP.1564.TO,13434055,13777982,14127913,14493374,14872091,15268914,15679932,16101343,16529631,16906168,17291081,17690866,18112982,18564172,19068073,19610075,20186350,20790612,21416957,22044543,22696400,23371256,24068307,24786462,25516103
